"","N","LEN","SIGMA","PHI","SIGMA.PHI","Pcap","Pstay","sigma_lower","sigma_med","sigma_upper","phi_lower","phi_med","phi_upper","R_hat_sigma","R_hat_phi","MCMCiter","Burn_in","N_thin","N_sample"
"129",1000,500,50,0.4,1,0.371,0.918,45.6466,49.54615,53.5531,0.36937,0.404415,0.432747,1.00298390064862,0.999554425162472,15000,5000,20,500
"130",1000,500,50,0.4,1,0.412,0.906,44.1139,47.57905,51.2667,0.412921,0.445847,0.476306,1.00089381049595,0.99933720321755,15000,5000,20,500
"131",1000,500,50,0.4,1,0.377,0.909,46.2746,50.4366,54.2595,0.382211,0.4150595,0.445785,1.00084974867115,1.00171338260436,15000,5000,20,500
"132",1000,500,50,0.4,1,0.377,0.939,47.9392,51.65585,56.1541,0.378446,0.4093755,0.441286,1.00054362524113,1.00136574080762,15000,5000,20,500
"133",1000,500,50,0.4,1,0.375,0.933,47.8827,51.32645,55.665,0.375318,0.406972,0.438839,1.0001279794093,1.00018298552535,15000,5000,20,500
"134",1000,500,50,0.4,1,0.38,0.917,47.6332,50.89705,55.2452,0.382427,0.413567,0.445347,0.999439359577814,1.00282369773292,15000,5000,20,500
"135",1000,500,50,0.4,1,0.367,0.926,46.1338,50.3163,53.9072,0.369136,0.3982655,0.432025,1.00168363845404,0.999880292290282,15000,5000,20,500
"136",1000,500,50,0.4,1,0.395,0.919,43.5528,46.9539,50.4487,0.396202,0.428326,0.460431,0.999219497762574,1.00255377268982,15000,5000,20,500
"137",1000,500,50,0.4,1,0.375,0.926,48.2578,52.0251,56.2248,0.374647,0.4067895,0.439186,0.999574739496393,0.999689919221407,15000,5000,20,500
"138",1000,500,50,0.4,1,0.381,0.921,49.0109,52.5105,57.101,0.385616,0.4147705,0.450932,1.00231748802697,0.999664343591763,15000,5000,20,500
"139",1000,500,50,0.4,1,0.378,0.923,49.5017,53.5474,57.6841,0.380406,0.413684,0.446551,1.00039812630616,1.00004555858894,15000,5000,20,500
"140",1000,500,50,0.4,1,0.416,0.921,49.8296,53.75715,57.8809,0.425144,0.457404,0.490838,1.00122519740547,0.999592000810694,15000,5000,20,500
"141",1000,500,50,0.4,1,0.37,0.926,48.4319,52.57405,56.4837,0.372558,0.4034545,0.436909,1.00003665778282,0.99937946182288,15000,5000,20,500
"142",1000,500,50,0.4,1,0.368,0.92,48.7512,52.3721,56.6498,0.372912,0.4033375,0.434539,1.00091054671929,1.0006172335529,15000,5000,20,500
"143",1000,500,50,0.4,1,0.367,0.917,44.4651,47.8205,51.8256,0.367013,0.3968875,0.429702,0.999801337639456,1.00074193901451,15000,5000,20,500
"144",1000,500,50,0.4,1,0.373,0.918,50.0008,54.2006,58.4676,0.374612,0.4084595,0.440265,1.00161395864689,0.999361650241024,15000,5000,20,500
"145",1000,500,50,0.4,1,0.389,0.914,47.0273,50.7279,54.4606,0.390029,0.424295,0.454983,0.999329697235952,1.00085766499972,15000,5000,20,500
"146",1000,500,50,0.4,1,0.406,0.92,46.3833,49.8274,53.565,0.410353,0.440856,0.474323,1.00055668267613,1.00061901586346,15000,5000,20,500
"147",1000,500,50,0.4,1,0.409,0.922,47.4823,51.4875,55.0196,0.409552,0.4410565,0.474633,1.00215463794397,1.00104655075158,15000,5000,20,500
"148",1000,500,50,0.4,1,0.388,0.92,47.7492,51.2936,55.2622,0.393597,0.4248045,0.459093,1.00106893969355,0.999050120789525,15000,5000,20,500
"149",1000,500,50,0.4,1,0.401,0.92,50.0622,53.7783,58.3267,0.404588,0.437593,0.4704,0.999579481946305,1.00227637376578,15000,5000,20,500
"150",1000,500,50,0.4,1,0.395,0.936,48.5272,52.0904,56.3392,0.393379,0.427395,0.459603,1.0006089717201,1.00151155279696,15000,5000,20,500
"151",100,1000,50,0.4,1,0.4,0.96,40.8341,50.96075,64.4968,0.32686,0.4144055,0.521343,1.00028998442645,0.999368160438034,15000,5000,20,500
"152",100,1000,50,0.4,1,0.41,0.99,40.6559,51.85925,64.5477,0.341732,0.4279865,0.537964,1.0009461361306,0.999329727613552,15000,5000,20,500
"153",100,1000,50,0.4,1,0.35,0.95,40.9713,52.95465,67.8115,0.275013,0.369356,0.468387,1.00135459129418,1.00262069405739,15000,5000,20,500
"154",100,1000,50,0.4,1,0.33,0.97,38.5442,50.84675,64.5612,0.250982,0.3398115,0.434362,1.00087342557666,1.0019940771922,15000,5000,20,500
"155",100,1000,50,0.4,1,0.4,0.92,48.2454,60.24615,74.809,0.326299,0.425491,0.528556,1.0004118364683,1.00010915823872,15000,5000,20,500
"156",100,1000,50,0.4,1,0.35,0.94,36.1625,46.8873,60.1942,0.270498,0.3633555,0.461136,1.00042664871921,1.0007818063531,15000,5000,20,500
"157",100,1000,50,0.4,1,0.45,0.98,41.0069,50.79695,63.6392,0.375097,0.46379,0.567092,1.00143175291282,1.00238994256068,15000,5000,20,500
"158",100,1000,50,0.4,1,0.37,0.96,32.4374,41.3254,52.2518,0.297621,0.387231,0.485782,1.00102068407729,1.00098131431402,15000,5000,20,500
"159",100,1000,50,0.4,1,0.44,0.96,43.5535,54.52435,67.2866,0.358569,0.4615115,0.551749,1.00308184001647,1.00138993431428,15000,5000,20,500
"160",100,1000,50,0.4,1,0.41,0.95,45.6,57.3198,71.2707,0.325265,0.4296915,0.52439,0.999259985377144,1.00101574397996,15000,5000,20,500
"161",100,1000,50,0.4,1,0.41,0.98,50.0888,62.18725,79.88,0.328543,0.4287495,0.528077,1.00120991213466,1.00002585899587,15000,5000,20,500
"162",100,1000,50,0.4,1,0.39,0.97,44.1166,54.04675,69.9409,0.30748,0.404379,0.504283,0.999792501256433,1.00108836960135,15000,5000,20,500
"163",100,1000,50,0.4,1,0.41,0.98,40.1378,50.68695,63.1724,0.332239,0.425699,0.522202,1.00087263330267,0.999882334148656,15000,5000,20,500
"164",100,1000,50,0.4,1,0.4,0.98,40.5719,52.36175,65.9131,0.314818,0.411706,0.506984,1.00028836063344,0.999774764634678,15000,5000,20,500
"165",100,1000,50,0.4,1,0.34,0.95,38.6144,49.56075,62.6961,0.265243,0.3528065,0.446813,0.999732031232363,1.00000377034009,15000,5000,20,500
"166",100,1000,50,0.4,1,0.38,0.95,38.1501,48.46305,60.9057,0.295731,0.3978955,0.494687,1.00034658158391,1.00039559063058,15000,5000,20,500
"167",100,1000,50,0.4,1,0.39,0.93,39.5069,49.3269,62.7612,0.325683,0.409356,0.512765,1.00112801884897,1.00037936517289,15000,5000,20,500
"168",100,1000,50,0.4,1,0.4,0.94,44.2956,56.32345,71.7004,0.336713,0.4303175,0.527554,1.00034440186506,1.00002467513583,15000,5000,20,500
"169",100,1000,50,0.4,1,0.34,0.99,33.4105,42.0339,54.7576,0.257996,0.3511425,0.441863,0.999773832514821,0.999935788026637,15000,5000,20,500
