"","N","LEN","DELTA","PHI","SIGMA.PHI","Pcap","Pstay","delta_lower","delta_med","delta_upper","phi_lower","phi_med","phi_upper","R_hat_delta","R_hat_phi","MCMCiter","Burn_in","N_thin","N_sample"
"87",500,500,50,0.4,1,0.392,0.902,48.529,57.5084,67.6706,0.396471,0.444337,0.493659,1.00386847862624,1.00212416912595,15000,5000,20,500
"88",500,500,50,0.4,1,0.362,0.9,44.3671,52.61035,61.9555,0.355898,0.401616,0.449323,1.00102265984512,1.0030116040788,15000,5000,20,500
"89",500,500,50,0.4,1,0.364,0.916,42.5137,49.51055,59.6677,0.359492,0.4017415,0.450809,1.00066740824523,1.00020139013035,15000,5000,20,500
"90",500,500,50,0.4,1,0.35,0.92,42.3563,50.94385,60.0844,0.342605,0.38735,0.432129,1.00314431847794,1.00224924248777,15000,5000,20,500
"91",500,500,50,0.4,1,0.394,0.902,47.3919,55.9335,65.2238,0.393787,0.438083,0.488757,1.00062187771568,1.00068321826946,15000,5000,20,500
"92",500,500,50,0.4,1,0.346,0.9,44.9739,54.0615,63.5522,0.342522,0.3879665,0.435959,1.00571638508431,1.00037713103516,15000,5000,20,500
"93",500,500,50,0.4,1,0.374,0.894,46.6742,53.90305,64.755,0.375584,0.421091,0.474105,1.00991698803748,1.00020209232544,15000,5000,20,500
"94",500,500,50,0.4,1,0.372,0.894,43.9914,51.8891,61.0738,0.371017,0.4170915,0.466262,1.000430177012,1.00186232123797,15000,5000,20,500
"95",500,500,50,0.4,1,0.364,0.902,49.4237,58.94065,70.1722,0.369723,0.413562,0.466032,1.0055011137647,1.00049348857083,15000,5000,20,500
"96",500,500,50,0.4,1,0.348,0.91,41.2207,49.15585,57.7311,0.337632,0.381655,0.425888,1.00312376514094,0.999798638634444,15000,5000,20,500
"97",500,500,50,0.4,1,0.398,0.91,46.892,54.665,63.75,0.396105,0.446012,0.493966,0.999934655845381,1.00317899187223,15000,5000,20,500
"98",500,500,50,0.4,1,0.382,0.912,42.8329,50.15085,59.0698,0.37892,0.4258085,0.473136,1.00402842183478,1.00061472242612,15000,5000,20,500
"99",500,500,50,0.4,1,0.39,0.896,40.5761,47.4248,55.7262,0.377835,0.426997,0.46913,1.00261385298145,1.00095960005249,15000,5000,20,500
"100",500,500,50,0.4,1,0.384,0.904,38.9372,46.18455,53.851,0.371837,0.4217665,0.465397,1.00084036006931,1.00109346477146,15000,5000,20,500
"101",1000,500,50,0.4,1,0.361,0.909,41.7387,46.54245,52.1544,0.366471,0.398431,0.431942,1.00188414249899,1.00046109193478,15000,5000,20,500
"102",1000,500,50,0.4,1,0.363,0.881,41.6964,46.786,52.2287,0.368664,0.4008055,0.432136,0.999841948585095,1.00071952525512,15000,5000,20,500
"103",1000,500,50,0.4,1,0.37,0.898,44.7157,50.1109,56.7507,0.380211,0.412716,0.445629,1.00151430782633,1.00109662366048,15000,5000,20,500
"104",1000,500,50,0.4,1,0.376,0.887,45.1587,50.76665,56.804,0.392698,0.4226235,0.460064,1.00318819331431,0.99915919562099,15000,5000,20,500
"105",1000,500,50,0.4,1,0.347,0.901,43.2893,49.0954,55.1374,0.35128,0.3831735,0.417994,1.00079561731808,1.00476030047931,15000,5000,20,500
"106",1000,500,50,0.4,1,0.364,0.897,44.2427,49.551,55.3494,0.370902,0.4031955,0.436289,1.00116806800181,1.0017235375132,15000,5000,20,500
"107",1000,500,50,0.4,1,0.394,0.896,41.9284,46.59755,52.1389,0.398611,0.4326925,0.465158,1.00293855372175,0.999244877915826,15000,5000,20,500
"108",1000,500,50,0.4,1,0.384,0.895,47.5163,53.3741,59.4898,0.395261,0.4299165,0.464955,1.00156107255431,1.00080307429524,15000,5000,20,500
