"","N","LEN","PHI","delta","Pcap","Pstay","delta_lower","delta_med","delta_upper","R_hat_delta","MCMCiter","Burn_in","N_thin","N_sample"
"113",500,500,0.4,293.538560324814,0.216,0.508,103.237,125.443,148.67,1.00125751465214,15000,5000,20,500
"114",500,500,0.4,159.669968623202,0.34,0.724,85.4065,98.8319,115.233,1.00219170583011,15000,5000,20,500
"115",500,500,0.4,181.240428411402,0.244,0.652,88.5778,106.102,125.553,1.00031673307958,15000,5000,20,500
"116",500,500,0.4,32.7192736580037,0.374,0.946,27.3662,31.6012,36.0056,0.999289045557934,15000,5000,20,500
"117",500,500,0.4,237.694591511972,0.198,0.546,98.617,122.5045,147.632,1.00298001831756,15000,5000,20,500
"118",500,500,0.4,45.8428816660307,0.38,0.902,36.1758,42.6736,49.0046,1.00016033697113,15000,5000,20,500
"119",500,500,0.4,81.8863903032616,0.34,0.812,56.1167,65.2436,75.843,1.00231111333133,15000,5000,20,500
"120",500,500,0.4,18.6725659342483,0.332,0.944,17.8124,20.9347,24.0317,1.00012828887656,15000,5000,20,500
"121",500,500,0.4,156.176370156463,0.282,0.706,83.7169,100.4805,116.767,1.00052340828193,15000,5000,20,500
"122",500,500,0.4,101.6622097441,0.326,0.822,77.5434,90.71945,105.305,1.00222867942908,15000,5000,20,500
"123",500,500,0.4,93.5950426966883,0.354,0.8,62.2089,72.39605,84.1683,0.999622962366774,15000,5000,20,500
"124",500,500,0.4,233.362278435379,0.212,0.548,81.2082,99.86585,119.69,1.00002349043861,15000,5000,20,500
"125",500,500,0.4,216.577347039711,0.25,0.624,101.198,120.716,143.832,1.00225812977617,15000,5000,20,500
"126",500,500,0.4,174.463671057019,0.246,0.636,100.221,118.446,141.075,1.00360613378537,15000,5000,20,500
"127",500,500,0.4,266.236872714944,0.228,0.542,104.179,123.894,149.46,0.999683437345782,15000,5000,20,500
"128",500,500,0.4,237.70228652982,0.218,0.586,99.255,119.876,143.224,1.00074707442503,15000,5000,20,500
"129",500,500,0.4,40.6224332144484,0.384,0.898,36.5357,42.56,48.693,1.0014900425838,15000,5000,20,500
"130",500,500,0.4,185.289154911879,0.27,0.644,83.5384,99.97765,118.704,1.00441669557783,15000,5000,20,500
"131",500,500,0.4,210.881622442976,0.234,0.614,92.6212,110.487,132.557,1.00005806819313,15000,5000,20,500
"132",500,500,0.4,17.8531130077317,0.364,0.958,13.7058,15.6813,18.1583,1.0037517121549,15000,5000,20,500
"133",500,500,0.4,208.330396516249,0.234,0.618,99.0344,117.932,140.401,1.00362164764735,15000,5000,20,500
"134",500,500,0.4,157.510495167226,0.286,0.664,78.7526,93.12275,108.73,1.00119790136072,15000,5000,20,500
"135",500,500,0.4,161.718676360324,0.272,0.696,85.5189,101.7975,119.831,1.00059970967934,15000,5000,20,500
"136",500,500,0.4,97.4315006122924,0.29,0.786,56.1679,66.50815,77.2038,0.999226500154059,15000,5000,20,500
"137",500,500,0.4,126.053948351182,0.302,0.758,73.471,85.83835,101.178,0.999753380054154,15000,5000,20,500
