"","N","LEN","SIGMA","PHI","SIGMA.PHI","Pcap","Pstay","sigma_lower","sigma_med","sigma_upper","R_hat_sigma","MCMCiter","Burn_in","N_thin","N_sample"
"153",100,1000,50,0.4,1,0.28,0.99,47.2654,61.5045,81.6501,0.99937391428275,15000,5000,20,500
"154",100,1000,50,0.4,1,0.44,0.99,45.9411,56.86415,70.2957,0.999717603930794,15000,5000,20,500
"155",100,1000,50,0.4,1,0.39,0.93,38.0191,47.14695,59.5984,0.999129560818481,15000,5000,20,500
"156",100,1000,50,0.4,1,0.35,0.95,35.7785,45.1641,59.3089,0.99957574190108,15000,5000,20,500
"157",100,1000,50,0.4,1,0.37,0.98,39.7404,50.20495,62.7379,1.00028590156987,15000,5000,20,500
"158",100,1000,50,0.4,1,0.47,1,45.5963,56.30905,68.8855,0.999782433605326,15000,5000,20,500
"159",100,1000,50,0.4,1,0.34,0.96,36.1457,46.8153,59.374,1.00071247117453,15000,5000,20,500
"160",100,1000,50,0.4,1,0.4,0.97,39.118,50.2307,61.4343,1.00006466715964,15000,5000,20,500
"161",100,1000,50,0.4,1,0.46,0.93,39.7788,48.9931,60.3041,1.0005794823102,15000,5000,20,500
"162",100,1000,50,0.4,1,0.38,0.97,41.0241,51.62865,64.6325,0.999473370051688,15000,5000,20,500
"163",100,1000,50,0.4,1,0.34,0.94,36.9573,47.68245,59.9997,1.00064136642978,15000,5000,20,500
"164",100,1000,50,0.4,1,0.42,0.95,39.2266,49.8317,61.2891,0.999465888345508,15000,5000,20,500
"165",100,1000,50,0.4,1,0.42,0.93,38.4103,48.55225,59.4768,1.00015331575542,15000,5000,20,500
"166",100,1000,50,0.4,1,0.4,0.96,42.3614,54.4054,67.8819,1.00041259721171,15000,5000,20,500
"167",100,1000,50,0.4,1,0.36,0.97,40.4104,51.69255,65.4166,1.00149332682883,15000,5000,20,500
"168",100,1000,50,0.4,1,0.32,0.97,42.1129,54.5719,69.5385,1.00069594386754,15000,5000,20,500
"169",100,1000,50,0.4,1,0.46,0.93,44.2813,55.2402,66.8434,1.00048225124043,15000,5000,20,500
"170",100,1000,50,0.4,1,0.41,0.95,43.7598,54.2166,67.9507,1.00138881055494,15000,5000,20,500
"171",100,1000,50,0.4,1,0.44,0.98,36.3426,45.24155,55.673,1.00097072935941,15000,5000,20,500
"172",100,1000,50,0.4,1,0.44,0.95,36.5466,45.86235,55.9365,1.00045565346035,15000,5000,20,500
"173",100,1000,50,0.4,1,0.37,0.94,36.8708,46.4181,59.2187,0.999596748739723,15000,5000,20,500
"174",100,1000,50,0.4,1,0.42,0.95,41.6951,52.49825,65.7239,0.999351120685107,15000,5000,20,500
"175",100,1000,50,0.4,1,0.42,0.96,34.1402,43.0825,52.7716,1.00116655819465,15000,5000,20,500
"176",100,1000,50,0.4,1,0.43,0.97,43.5803,53.871,65.9234,1.00003381115415,15000,5000,20,500
"177",100,1000,50,0.4,1,0.29,0.96,28.2414,38.03475,48.3289,1.00023255763534,15000,5000,20,500
"178",100,1000,50,0.4,1,0.39,0.98,38.3725,47.7106,60.1525,0.99944232123961,15000,5000,20,500
"179",100,1000,50,0.4,1,0.36,0.96,41.2355,50.54065,65.3873,0.999514755400314,15000,5000,20,500
"180",100,1000,50,0.4,1,0.4,0.99,35.2755,43.76565,54.8858,1.00164869705317,15000,5000,20,500
"181",100,1000,50,0.4,1,0.36,0.94,44.2611,56.62835,71.4843,1.00074956105703,15000,5000,20,500
"182",100,1000,50,0.4,1,0.46,0.97,40.3084,49.23025,60.6409,0.999992447545607,15000,5000,20,500
"183",100,1000,50,0.4,1,0.45,0.96,42.572,51.47535,63.8754,1.00022604064705,15000,5000,20,500
"184",100,1000,50,0.4,1,0.39,0.97,38.7556,49.68845,62.5406,0.999143659186228,15000,5000,20,500
"185",100,1000,50,0.4,1,0.45,0.96,31.4515,38.96185,47.9853,0.999741835334004,15000,5000,20,500
"186",100,1000,50,0.4,1,0.42,0.98,42.8344,53.5535,66.6544,1.00219955582728,15000,5000,20,500
"187",100,1000,50,0.4,1,0.34,0.93,37.1457,47.82825,60.5397,1.00122250825443,15000,5000,20,500
"188",100,1000,50,0.4,1,0.33,0.98,38.8959,50.2398,63.544,1.00049120897011,15000,5000,20,500
"189",100,1000,50,0.4,1,0.35,0.98,44.0096,55.8171,71.6167,1.00078186117159,15000,5000,20,500
"190",100,1000,50,0.4,1,0.41,0.97,34.0594,43.5164,53.0229,0.999608158577127,15000,5000,20,500
"191",100,1000,50,0.4,1,0.47,0.98,37.2023,45.5272,55.4753,1.0013299618345,15000,5000,20,500
"192",100,1000,50,0.4,1,0.36,0.96,39.6331,50.7432,63.7367,1.00048909394443,15000,5000,20,500
"193",100,1000,50,0.4,1,0.35,0.91,35.2986,45.36975,57.6736,1.00381934075212,15000,5000,20,500
"194",100,1000,50,0.4,1,0.45,0.97,39.8509,49.09295,60.5122,1.0002563011682,15000,5000,20,500
"195",100,1000,50,0.4,1,0.26,0.94,35.0489,47.0871,61.925,0.99989892753889,15000,5000,20,500
"196",100,1000,50,0.4,1,0.35,0.95,35.4261,46.3672,58.6747,1.00053514653149,15000,5000,20,500
"197",100,1000,50,0.4,1,0.39,0.92,42.45,53.3219,67.2362,1.00143527390963,15000,5000,20,500
"198",100,1000,50,0.4,1,0.29,0.99,33.9198,43.6114,57.5419,1.00198071178056,15000,5000,20,500
"199",100,1000,50,0.4,1,0.43,0.96,45.7732,55.97235,69.4183,1.00058282376869,15000,5000,20,500
"200",100,1000,50,0.4,1,0.44,0.97,40.842,49.9116,61.457,1.00133960236168,15000,5000,20,500
"201",500,1000,50,0.4,1,0.386,0.956,41.676,46.24485,50.9196,1.00193772679288,15000,5000,20,500
"202",500,1000,50,0.4,1,0.394,0.98,42.1661,46.1639,51.0504,1.00281316723687,15000,5000,20,500
"203",500,1000,50,0.4,1,0.398,0.964,44.4916,49.26135,54.2463,1.00206151694025,15000,5000,20,500
"204",500,1000,50,0.4,1,0.424,0.936,41.0884,45.29525,49.6557,1.00001879147856,15000,5000,20,500
"205",500,1000,50,0.4,1,0.402,0.956,43.9172,48.38415,53.6836,1.00057452617132,15000,5000,20,500
"206",500,1000,50,0.4,1,0.424,0.966,45.719,50.7067,55.4579,1.00096984718007,15000,5000,20,500
"207",500,1000,50,0.4,1,0.424,0.97,45.382,50.33285,55.049,1.00096986246216,15000,5000,20,500
"208",500,1000,50,0.4,1,0.386,0.952,48.5367,54.0112,59.5817,0.999763511606692,15000,5000,20,500
"209",500,1000,50,0.4,1,0.36,0.958,42.8124,48.14625,53.1507,1.00197008225038,15000,5000,20,500
"210",500,1000,50,0.4,1,0.412,0.974,46.614,51.3324,56.771,1.00067874207668,15000,5000,20,500
"211",500,1000,50,0.4,1,0.406,0.958,44.4153,49.2849,54.1584,1.00172768454542,15000,5000,20,500
"212",500,1000,50,0.4,1,0.368,0.96,40.9608,45.2855,50.5688,1.00029112059063,15000,5000,20,500
"213",500,1000,50,0.4,1,0.406,0.958,45.6544,50.60385,55.5398,1.00028401989198,15000,5000,20,500
"214",500,1000,50,0.4,1,0.394,0.936,43.7375,48.5683,53.3139,1.00177451936684,15000,5000,20,500
"215",500,1000,50,0.4,1,0.416,0.96,42.8913,48.32675,52.843,1.00013462868261,15000,5000,20,500
"216",500,1000,50,0.4,1,0.424,0.966,44.3401,48.78505,53.7331,1.00152359640522,15000,5000,20,500
"217",500,1000,50,0.4,1,0.388,0.96,44.8122,49.68735,55.0849,1.0064827995826,15000,5000,20,500
"218",500,1000,50,0.4,1,0.392,0.96,45.1862,50.3845,55.2693,0.999892838365109,15000,5000,20,500
"219",500,1000,50,0.4,1,0.378,0.962,41.177,45.1271,50.103,1.00094029863413,15000,5000,20,500
"220",500,1000,50,0.4,1,0.366,0.958,45.0685,49.7209,55.4927,1.00094623352139,15000,5000,20,500
"221",500,1000,50,0.4,1,0.408,0.952,41.3444,45.62975,50.2403,1.00125741470083,15000,5000,20,500
"222",500,1000,50,0.4,1,0.424,0.974,42.0674,46.33005,50.7884,1.00017571491714,15000,5000,20,500
"223",500,1000,50,0.4,1,0.422,0.962,45.1989,49.6475,54.695,0.999968570984688,15000,5000,20,500
"224",500,1000,50,0.4,1,0.374,0.972,38.6111,43.13375,47.5521,0.999816380383006,15000,5000,20,500
"225",500,1000,50,0.4,1,0.4,0.96,40.3037,44.46275,49.2987,1.0008535501624,15000,5000,20,500
