"","N","LEN","DELTA","PHI","Pcap","Pstay","delta_lower","delta_med","delta_upper","R_hat_delta","MCMCiter","Burn_in","N_thin","N_sample"
"237",500,1000,50,0.4,0.364,0.954,42.104,48.5614,56.8956,1.00146861416992,15000,5000,20,500
"238",500,1000,50,0.4,0.418,0.964,41.2992,48.3671,55.2659,1.0021071987695,15000,5000,20,500
"239",500,1000,50,0.4,0.398,0.94,49.1263,56.71085,65.6162,1.00145704791932,15000,5000,20,500
"240",500,1000,50,0.4,0.364,0.956,44.0684,51.6656,59.8418,0.99982139346387,15000,5000,20,500
"241",500,1000,50,0.4,0.358,0.962,47.1014,55.5435,64.5411,1.00099122602763,15000,5000,20,500
"242",500,1000,50,0.4,0.384,0.94,44.4512,52.25265,60.3172,1.00121551848959,15000,5000,20,500
"243",500,1000,50,0.4,0.366,0.96,40.2703,47.0695,54.7675,1.00005345442075,15000,5000,20,500
"244",500,1000,50,0.4,0.386,0.952,44.0196,50.91725,59.2637,1.00336609212099,15000,5000,20,500
"245",500,1000,50,0.4,0.412,0.95,43.7767,51.37795,58.5829,1.00010000557703,15000,5000,20,500
"246",500,1000,50,0.4,0.376,0.946,37.4685,43.4991,50.2536,1.00159767169899,15000,5000,20,500
"247",500,1000,50,0.4,0.364,0.952,44.2786,51.7535,60.4291,1.00434620852824,15000,5000,20,500
"248",500,1000,50,0.4,0.406,0.954,42.4964,49.2039,56.7507,1.00204317181583,15000,5000,20,500
"249",500,1000,50,0.4,0.432,0.95,41.4706,47.7003,54.7406,0.999759127501194,15000,5000,20,500
"250",500,1000,50,0.4,0.39,0.954,46.6948,54.6248,63.017,0.999996599540553,15000,5000,20,500
"251",1000,1000,50,0.4,0.382,0.947,44.0212,48.8513,54.5171,1.00311248852831,15000,5000,20,500
"252",1000,1000,50,0.4,0.373,0.961,45.7632,50.3406,56.0027,1.00133272324363,15000,5000,20,500
