"","N","LEN","DELTA","PHI","SIGMA.PHI","Pcap","Pstay","delta_lower","delta_med","delta_upper","R_hat_delta","MCMCiter","Burn_in","N_thin","N_sample"
"104",1000,500,50,0.4,1,0.381,0.892,44.6145,49.92195,56.0114,1.00178294073847,15000,5000,20,500
"105",1000,500,50,0.4,1,0.381,0.909,48.649,55.09145,61.8809,1.00230790322162,15000,5000,20,500
"106",1000,500,50,0.4,1,0.402,0.909,45.9715,51.3436,57.4243,1.00245676823928,15000,5000,20,500
"107",1000,500,50,0.4,1,0.404,0.91,41.2858,46.051,51.1663,1.00063279153379,15000,5000,20,500
"108",1000,500,50,0.4,1,0.359,0.909,41.6827,47.05925,53.0566,1.00014902101767,15000,5000,20,500
"109",1000,500,50,0.4,1,0.382,0.896,43.5114,49.04035,54.9696,1.00304824310131,15000,5000,20,500
"110",1000,500,50,0.4,1,0.367,0.894,39.4678,43.99915,49.5927,1.00012723808704,15000,5000,20,500
"111",1000,500,50,0.4,1,0.368,0.909,38.0841,42.9208,47.7233,1.00110393533969,15000,5000,20,500
"112",1000,500,50,0.4,1,0.387,0.892,40.9936,45.61285,51.2046,0.999182552578698,15000,5000,20,500
"113",1000,500,50,0.4,1,0.368,0.897,47.1947,52.74915,59.2458,1.0012637181959,15000,5000,20,500
"114",1000,500,50,0.4,1,0.398,0.902,41.9723,47.3803,52.4444,1.00147057907837,15000,5000,20,500
"115",1000,500,50,0.4,1,0.366,0.906,46.1829,52.7168,58.947,1.00019784991133,15000,5000,20,500
"116",1000,500,50,0.4,1,0.37,0.9,43.342,48.86915,54.9667,0.999741678383346,15000,5000,20,500
"117",1000,500,50,0.4,1,0.388,0.896,47.3105,52.882,59.3007,0.999893765456045,15000,5000,20,500
"118",1000,500,50,0.4,1,0.359,0.899,44.274,49.52155,55.4395,1.00258191281241,15000,5000,20,500
"119",1000,500,50,0.4,1,0.38,0.898,42.3159,47.267,52.6855,1.00171210752952,15000,5000,20,500
"120",1000,500,50,0.4,1,0.39,0.9,46.4647,52.09085,58.1733,1.00047327385647,15000,5000,20,500
"121",1000,500,50,0.4,1,0.351,0.916,50.7899,57.7719,64.5565,1.00374908457926,15000,5000,20,500
"122",1000,500,50,0.4,1,0.381,0.897,44.9566,50.13965,56.3964,1.00137658105162,15000,5000,20,500
"123",1000,500,50,0.4,1,0.364,0.899,45.0626,50.30695,56.8909,1.00259604698359,15000,5000,20,500
"124",1000,500,50,0.4,1,0.36,0.905,44.2794,49.7098,56.2758,1.00047644294966,15000,5000,20,500
"125",1000,500,50,0.4,1,0.382,0.905,43.4516,48.6614,54.1909,1.00324895848365,15000,5000,20,500
"126",1000,500,50,0.4,1,0.366,0.898,44.1057,50.7914,56.5465,1.00207655034984,15000,5000,20,500
"127",1000,500,50,0.4,1,0.347,0.905,45.444,51.59525,58.1404,0.999927516040913,15000,5000,20,500
"128",1000,500,50,0.4,1,0.347,0.89,42.1097,47.29585,53.4307,1.00081056204349,15000,5000,20,500
"129",1000,500,50,0.4,1,0.377,0.895,45.6445,51.1498,57.8663,1.00318029422935,15000,5000,20,500
"130",1000,500,50,0.4,1,0.404,0.894,46.2572,52.1226,57.8911,0.999118402249547,15000,5000,20,500
"131",1000,500,50,0.4,1,0.374,0.898,42.0847,47.3937,52.7381,1.00059030819725,15000,5000,20,500
"132",1000,500,50,0.4,1,0.388,0.906,42.7925,47.8267,53.7367,1.00155551930734,15000,5000,20,500
"133",1000,500,50,0.4,1,0.385,0.898,44.1306,49.9395,55.5279,1.00013642955422,15000,5000,20,500
"134",1000,500,50,0.4,1,0.368,0.9,47.2829,53.02675,59.7566,0.999741039490122,15000,5000,20,500
"135",1000,500,50,0.4,1,0.375,0.91,44.2614,49.95315,56.0642,0.999299653097503,15000,5000,20,500
"136",1000,500,50,0.4,1,0.386,0.904,43.6277,48.74965,54.4811,1.00433537865346,15000,5000,20,500
"137",1000,500,50,0.4,1,0.373,0.889,44.2605,49.52685,55.6379,1.00399838964883,15000,5000,20,500
"138",1000,500,50,0.4,1,0.364,0.909,44.6011,50.0143,56.4476,1.00295162447667,15000,5000,20,500
"139",1000,500,50,0.4,1,0.373,0.895,39.8094,45.07565,50.2909,1.00420715853382,15000,5000,20,500
"140",1000,500,50,0.4,1,0.343,0.914,40.3798,45.3613,51.3688,1.00014850428252,15000,5000,20,500
"141",1000,500,50,0.4,1,0.395,0.913,46.0629,51.792,57.8378,0.999732244208051,15000,5000,20,500
"142",1000,500,50,0.4,1,0.365,0.893,44.2991,49.9726,56.1577,1.00568362921289,15000,5000,20,500
"143",1000,500,50,0.4,1,0.396,0.904,43.4005,48.3851,53.6575,1.00211521659015,15000,5000,20,500
"144",1000,500,50,0.4,1,0.379,0.908,42.6605,47.87745,53.4882,1.00080569092691,15000,5000,20,500
"145",1000,500,50,0.4,1,0.364,0.876,41.8663,47.38015,53.0629,1.00545578729052,15000,5000,20,500
"146",1000,500,50,0.4,1,0.398,0.897,41.503,46.5884,51.5655,1.00179320182866,15000,5000,20,500
