"","N","LEN","SIGMA","PHI","SIGMA.PHI","Pcap","Pstay","sigma_lower","sigma_med","sigma_upper","R_hat_sigma","MCMCiter","Burn_in","N_thin","N_sample"
"138",1000,500,50,0.4,1,0.364,0.94,49.2824,52.98305,57.4225,1.00064607720828,15000,5000,20,500
"139",1000,500,50,0.4,1,0.395,0.925,45.9216,49.8262,53.6519,1.00016414726926,15000,5000,20,500
"140",1000,500,50,0.4,1,0.35,0.916,47.129,51.30165,55.4379,1.00638363373607,15000,5000,20,500
"141",1000,500,50,0.4,1,0.396,0.913,44.596,48.0602,51.799,1.00583295512323,15000,5000,20,500
"142",1000,500,50,0.4,1,0.39,0.902,44.8773,48.38425,52.1484,1.00223352247263,15000,5000,20,500
"143",1000,500,50,0.4,1,0.368,0.914,47.9942,51.84995,56.0536,1.00045687071814,15000,5000,20,500
"144",1000,500,50,0.4,1,0.402,0.925,46.6934,50.1088,54.189,1.00231043962234,15000,5000,20,500
"145",1000,500,50,0.4,1,0.39,0.922,49.242,53.56145,57.2772,0.999589055784294,15000,5000,20,500
"146",1000,500,50,0.4,1,0.395,0.912,44.6442,48.25285,52.0872,1.0000271430989,15000,5000,20,500
"147",1000,500,50,0.4,1,0.389,0.921,47.3563,50.8598,55.018,1.00250494366767,15000,5000,20,500
"148",1000,500,50,0.4,1,0.398,0.925,43.3614,46.945,50.5252,1.00155749035154,15000,5000,20,500
"149",1000,500,50,0.4,1,0.377,0.93,42.6157,46.1332,49.4507,1.00401409995791,15000,5000,20,500
"150",1000,500,50,0.4,1,0.392,0.915,45.1398,48.72615,52.7192,1.00092791755829,15000,5000,20,500
"151",100,1000,50,0.4,1,0.29,0.95,36.7996,50.9543,65.8387,1.00141661382418,15000,5000,20,500
"152",100,1000,50,0.4,1,0.4,0.96,42.0857,52.86455,65.7056,1.00041004477223,15000,5000,20,500
"153",100,1000,50,0.4,1,0.43,0.96,30.9172,38.89795,47.9857,1.00081755476021,15000,5000,20,500
"154",100,1000,50,0.4,1,0.31,0.96,40.0946,53.78055,69.6124,1.00148634682665,15000,5000,20,500
"155",100,1000,50,0.4,1,0.4,0.96,30.2489,38.60595,48.8925,1.00398753452713,15000,5000,20,500
"156",100,1000,50,0.4,1,0.33,0.92,31.101,40.5107,51.5523,1.00008899198493,15000,5000,20,500
"157",100,1000,50,0.4,1,0.35,0.96,38.2987,49.3512,63.1371,0.999349012494554,15000,5000,20,500
"158",100,1000,50,0.4,1,0.35,0.97,34.6383,45.0729,56.6426,1.00092264498172,15000,5000,20,500
"159",100,1000,50,0.4,1,0.39,0.95,43.9443,55.84515,70.0723,1.00325678141486,15000,5000,20,500
"160",100,1000,50,0.4,1,0.46,0.97,33.5258,41.20685,51.083,1.0002163892194,15000,5000,20,500
"161",100,1000,50,0.4,1,0.39,0.96,46.1848,57.38975,73.0363,1.00347562903156,15000,5000,20,500
"162",100,1000,50,0.4,1,0.4,0.97,38.2107,48.54765,60.7937,1.00235933813707,15000,5000,20,500
"163",100,1000,50,0.4,1,0.45,0.97,39.823,49.125,60.6831,1.00131476634978,15000,5000,20,500
"164",100,1000,50,0.4,1,0.34,0.97,34.7164,43.9802,56.7616,1.00189935475707,15000,5000,20,500
"165",100,1000,50,0.4,1,0.41,0.97,33.2231,42.67185,53.2028,1.00227372998802,15000,5000,20,500
"166",100,1000,50,0.4,1,0.41,0.97,43.8168,54.97785,69.8366,1.00073913877136,15000,5000,20,500
"167",100,1000,50,0.4,1,0.45,0.99,40.5792,49.7495,62.1971,1.00195206897541,15000,5000,20,500
"168",100,1000,50,0.4,1,0.39,0.97,40.7679,52.52675,66.6648,1.00090993802762,15000,5000,20,500
"169",100,1000,50,0.4,1,0.41,0.96,49.4636,61.20805,77.0365,0.999741578662537,15000,5000,20,500
"170",100,1000,50,0.4,1,0.41,0.98,39.3857,50.0481,63.2033,1.00227123386975,15000,5000,20,500
"171",100,1000,50,0.4,1,0.33,0.96,31.8222,40.88375,52.2097,1.00097211724368,15000,5000,20,500
"172",100,1000,50,0.4,1,0.38,0.94,38.5165,48.22815,61.8165,0.999846761005506,15000,5000,20,500
