"","N","LEN","SIGMA","PHI","Pcap","Pstay","sigma_lower","sigma_med","sigma_upper","phi_lower","phi_med","phi_upper","R_hat_sigma","R_hat_phi","MCMCiter","Burn_in","N_thin","N_sample"
"110",1000,500,50,0.4,0.375,0.93,42.7347,45.78145,49.4957,0.37425,0.405452,0.438614,0.999582599321596,1.00172545824321,15000,5000,20,500
"111",1000,500,50,0.4,0.392,0.918,48.1308,51.9109,55.7684,0.395817,0.426437,0.459393,1.00397981335702,1.00123875585171,15000,5000,20,500
"112",1000,500,50,0.4,0.358,0.921,47.6533,51.51785,55.507,0.361627,0.3914285,0.422652,1.00010329023623,0.999822331592933,15000,5000,20,500
"113",1000,500,50,0.4,0.374,0.922,48.7526,52.66465,56.5759,0.379944,0.4082005,0.441072,1.00184757738564,1.00104031868885,15000,5000,20,500
"114",1000,500,50,0.4,0.358,0.919,43.8558,47.67415,51.2919,0.356966,0.388634,0.418241,1.0002686806719,1.00159413468277,15000,5000,20,500
"115",1000,500,50,0.4,0.399,0.921,45.2358,48.74635,52.4167,0.396851,0.4301845,0.461257,1.00194409007053,0.999717406834336,15000,5000,20,500
"116",1000,500,50,0.4,0.362,0.908,46.6669,50.1902,54.5302,0.364481,0.3989205,0.430281,1.00049885038071,1.00241609485825,15000,5000,20,500
"117",1000,500,50,0.4,0.376,0.931,48.0132,52.07915,55.9693,0.374909,0.406144,0.437691,1.00102458852821,1.00068476567438,15000,5000,20,500
"118",1000,500,50,0.4,0.373,0.931,43.2567,46.9106,50.6346,0.369495,0.4018545,0.433338,0.999699323030952,1.00191512359812,15000,5000,20,500
"119",1000,500,50,0.4,0.376,0.917,46.1848,49.9271,53.7646,0.378287,0.410769,0.444365,1.00126072403315,1.00019824988692,15000,5000,20,500
"120",1000,500,50,0.4,0.372,0.911,46.9095,50.07395,54.4971,0.373393,0.407038,0.437461,0.999833752669909,1.00273402858436,15000,5000,20,500
"121",1000,500,50,0.4,0.365,0.932,43.259,46.9045,50.5359,0.359592,0.392133,0.421545,1.00014770589947,1.00010562853098,15000,5000,20,500
"122",1000,500,50,0.4,0.346,0.92,45.873,49.79235,53.6577,0.342968,0.374902,0.40514,1.00085047972555,1.00034854534651,15000,5000,20,500
