"","N","LEN","PHI","delta","Pcap","Pstay","delta_lower","delta_med","delta_upper","phi_lower","phi_med","phi_upper","R_hat_delta","R_hat_phi","MCMCiter","Burn_in","N_thin","N_sample"
"90",100,500,0.4,11.4010136993602,0.36,0.98,6.08899,8.893825,12.0214,0.275084,0.365369,0.469806,0.999280617576566,1.00173334625103,15000,5000,20,500
"91",100,500,0.4,274.548790552653,0.19,0.49,121.216,491.801,1106.87,0.236903,0.5096745,0.956689,1.05741034627848,1.0402212509997,45000,5000,20,2000
"92",100,500,0.4,114.474771781825,0.35,0.77,57.9634,93.04645,155.617,0.325702,0.4517955,0.591296,1.02399244472911,1.00487182777712,15000,5000,20,500
"93",100,500,0.4,203.163354115095,0.18,0.58,104.062,451.1305,1140.2,0.197513,0.4618605,0.930425,1.07573396185938,1.07827450076947,85000,5000,20,4000
"94",100,500,0.4,180.371926827356,0.31,0.61,74.9712,130.2415,217.178,0.294023,0.4256595,0.58289,1.0296987199886,1.00515107594986,15000,5000,20,500
"95",100,500,0.4,78.2954433280975,0.34,0.89,50.301,80.3621,122.733,0.293483,0.396126,0.512892,1.01118433999563,1.00400586423416,15000,5000,20,500
"96",100,500,0.4,271.225945251063,0.19,0.54,287.688,811.8825,1470.78,0.38315,0.7265405,0.999955,1.04984339412379,1.05204159982933,25000,5000,20,1000
"97",100,500,0.4,101.719225933775,0.3,0.81,63.9334,119.097,212.561,0.267762,0.408001,0.560393,1.06442788308683,1.04239269907191,25000,5000,20,1000
"98",100,500,0.4,270.308391700964,0.21,0.43,81.2642,231.607,711.058,0.186647,0.3753825,0.775326,1.06338798758825,1.06699097024517,35000,5000,20,1500
"99",100,500,0.4,290.548369837925,0.29,0.61,176.347,443.9045,790.726,0.455589,0.7293335,0.998259,1.0171466254116,1.00573661869047,25000,5000,20,1000
"100",100,500,0.4,277.193278151099,0.19,0.61,216.802,617.1855,1381.07,0.321061,0.6206995,0.999987,1.03109455370227,1.02460150434127,25000,5000,20,1000
"101",500,500,0.4,176.649216285441,0.274,0.672,101.18,137.24,187.082,0.302324,0.372292,0.440982,1.09161548392115,1.04457618797215,25000,5000,20,1000
"102",500,500,0.4,89.9941018875688,0.346,0.812,65.3077,79.25565,96.161,0.363756,0.4147115,0.465027,1.00027391955769,1.00127472283435,15000,5000,20,500
"103",500,500,0.4,131.030684281141,0.304,0.714,86.2781,108.3755,138.353,0.335822,0.3868375,0.449038,1.01948395249276,1.00723872684179,15000,5000,20,500
"104",500,500,0.4,57.4622362689115,0.346,0.896,47.9755,57.45455,68.1512,0.344182,0.3862745,0.437828,1.00024846442425,0.99929952620847,15000,5000,20,500
"105",500,500,0.4,259.576510633342,0.216,0.592,170.633,287.9145,500.243,0.29509,0.41273,0.606996,1.0315140753009,1.03255240325695,35000,5000,20,1500
"106",500,500,0.4,228.833890105598,0.212,0.564,163.106,295.8595,543.099,0.272805,0.4131415,0.617603,1.0267874595194,1.04347083191142,45000,5000,20,2000
"107",500,500,0.4,53.337841744069,0.354,0.894,41.8648,51.4846,60.0554,0.345257,0.391119,0.439836,1.00191998964835,1.00285474102604,15000,5000,20,500
"108",500,500,0.4,27.2712750243954,0.35,0.938,22.638,26.7825,31.1778,0.329205,0.372881,0.417148,0.999399893087332,0.999788644353394,15000,5000,20,500
"109",500,500,0.4,262.649740467314,0.234,0.55,170.133,273.171,433.025,0.323547,0.437248,0.586033,1.07447283011545,1.04800197836888,15000,5000,20,500
"110",500,500,0.4,142.769692107104,0.28,0.736,110.428,152.9225,207.468,0.330136,0.39603,0.47628,1.03823321981542,1.01474031460932,25000,5000,20,1000
