"","N","LEN","PHI","delta","Pcap","Pstay","delta_lower","delta_med","delta_upper","R_hat_delta","MCMCiter","Burn_in","N_thin","N_sample"
"142",500,500,0.4,85.6428857985884,0.358,0.828,75.3249,91.4517,110.697,0.999496864999039,15000,5000,20,500
"143",500,500,0.4,145.823356751353,0.298,0.754,114.025,149.067,201.217,1.00120329768192,15000,5000,20,500
"144",500,500,0.4,53.6966216051951,0.334,0.874,45.9858,54.4402,65.106,1.00051683448093,15000,5000,20,500
"145",500,500,0.4,56.4752314100042,0.354,0.888,48.5162,57.3748,67.9516,0.999613125729504,15000,5000,20,500
"146",500,500,0.4,137.043622881174,0.292,0.722,109.783,149.431,200.205,1.00176677016124,15000,5000,20,500
"147",500,500,0.4,114.706626487896,0.332,0.776,80.546,100.7595,125.111,1.0025426844071,15000,5000,20,500
"148",500,500,0.4,263.168772847857,0.214,0.498,171.761,341.9205,851.06,1.00411469975261,15000,5000,20,500
"149",500,500,0.4,174.988176343031,0.296,0.652,120.448,159.2375,213.239,0.999590137543539,15000,5000,20,500
"150",500,500,0.4,209.342416783329,0.248,0.616,164.948,287.032,555.656,0.999749876034588,15000,5000,20,500
"151",500,500,0.4,255.435853702947,0.216,0.548,187.248,439.268,1655.53,1.01095114879904,15000,5000,20,500
"152",500,500,0.4,92.566029583104,0.334,0.838,68.1449,82.3301,101.567,1.00299270302755,15000,5000,20,500
"153",500,500,0.4,201.457081998233,0.262,0.658,136.58,202.518,295.708,1.00035729322091,15000,5000,20,500
"154",500,500,0.4,296.084419016261,0.188,0.488,184.086,485.6225,3684.71,1.00113444062844,15000,5000,20,500
"155",500,500,0.4,145.53199676564,0.284,0.728,105.545,143.564,187.796,1.00068413147698,15000,5000,20,500
"156",500,500,0.4,165.697037589271,0.254,0.682,116.638,170.802,233.451,1.00157877162878,15000,5000,20,500
"157",500,500,0.4,192.49335924862,0.236,0.652,147.943,239.8495,383.904,0.999919998780857,15000,5000,20,500
"158",500,500,0.4,99.0600952156819,0.296,0.794,84.8874,108.1625,138.42,0.999520347523199,15000,5000,20,500
"159",500,500,0.4,10.9452647296712,0.388,0.986,9.98219,11.38375,13.2206,1.00177330433039,15000,5000,20,500
"160",500,500,0.4,41.2340548937209,0.418,0.906,33.5458,38.7897,44.5512,1.00349255297249,15000,5000,20,500
"161",500,500,0.4,40.2277703233995,0.352,0.928,36.2168,42.8396,50.3935,1.00032721064104,15000,5000,20,500
"162",500,500,0.4,41.9105463195592,0.378,0.912,37.0058,44.0607,51.2914,1.00409006606023,15000,5000,20,500
"163",500,500,0.4,273.879046489019,0.246,0.542,193.894,379.148,975.417,1.00090400167024,15000,5000,20,500
"164",500,500,0.4,205.162532581016,0.224,0.64,126.932,182.4205,275.244,1.00586983992216,15000,5000,20,500
"165",500,500,0.4,48.7469108426012,0.388,0.916,43.0467,51.4125,60.0223,1.00152241935423,15000,5000,20,500
"166",500,500,0.4,133.701504552737,0.306,0.742,98.0746,128.4255,165.555,1.00093970968087,15000,5000,20,500
"167",500,500,0.4,250.54529981222,0.232,0.572,138.776,220.891,348.106,1.00054305770078,15000,5000,20,500
"168",500,500,0.4,245.874761447776,0.242,0.548,158.421,286.1685,511.263,1.00401841760093,15000,5000,20,500
"169",500,500,0.4,25.3039340069517,0.394,0.95,26.7849,31.2319,36.1023,0.999455900767141,15000,5000,20,500
"170",500,500,0.4,80.6821885774843,0.298,0.868,65.8822,83.15145,102.819,1.00183787508405,15000,5000,20,500
"171",500,500,0.4,149.910063615534,0.28,0.718,113.29,146.556,199.696,1.00175472827922,15000,5000,20,500
"172",500,500,0.4,95.9123170562088,0.332,0.816,81.9915,103.739,128.265,1.00025413784449,15000,5000,20,500
"173",500,500,0.4,189.494882260915,0.27,0.646,126.969,179.3345,252.095,1.0020048293811,15000,5000,20,500
"174",500,500,0.4,67.2789301909506,0.362,0.87,53.5658,64.1933,75.7422,1.00656215811588,15000,5000,20,500
"175",500,500,0.4,161.253941170871,0.288,0.696,130.3,173.7365,248.926,1.00295808292754,15000,5000,20,500
"176",500,500,0.4,264.41582872998,0.212,0.56,205.528,599.599,8071.61,1.00065806809622,15000,5000,20,500
"177",500,500,0.4,127.050694921054,0.316,0.752,96.114,120.375,155.173,1.00007408336741,15000,5000,20,500
"178",500,500,0.4,278.637875907589,0.242,0.524,174.178,298.7975,571.362,1.0022021856854,15000,5000,20,500
"179",500,500,0.4,112.728872871958,0.302,0.768,79.3571,102.6235,127.338,1.00376661204266,15000,5000,20,500
"180",500,500,0.4,156.673154472373,0.264,0.67,109.512,148.4405,199.749,1.00229800404125,15000,5000,20,500
"181",500,500,0.4,148.406748818234,0.274,0.72,122.426,164.56,230.979,0.999583685948511,15000,5000,20,500
"182",500,500,0.4,164.667408617679,0.312,0.714,117.632,157.487,209.939,1.00388111337782,15000,5000,20,500
"183",500,500,0.4,109.081195793115,0.286,0.796,71.2585,90.26475,112.361,1.00076514951513,15000,5000,20,500
"184",500,500,0.4,245.350699706469,0.234,0.564,211.929,541.709,4410.75,0.999852908825894,15000,5000,20,500
"185",500,500,0.4,287.961446698755,0.19,0.492,150.959,272.8855,580.454,1.00545252442812,15000,5000,20,500
"186",500,500,0.4,209.53720522346,0.254,0.596,149.019,221.1455,352.127,1.00308208448152,15000,5000,20,500
"187",500,500,0.4,217.163758040406,0.234,0.554,120.148,167.189,242.906,1.00034825528482,15000,5000,20,500
"188",500,500,0.4,123.668735960964,0.282,0.742,93.5301,121.8055,156.435,1.00133761016477,15000,5000,20,500
"189",500,500,0.4,273.3043336845,0.224,0.54,155.886,255.443,473.417,1.00304099203492,15000,5000,20,500
"190",500,500,0.4,294.71618110314,0.174,0.46,123.039,189.4625,292.393,1.00054967115387,15000,5000,20,500
"191",500,500,0.4,249.697907485534,0.224,0.562,100.48,143.11,193.618,1.00187228147599,15000,5000,20,500
"192",500,500,0.4,236.900759115815,0.212,0.588,158.929,274.489,526.582,1.01045300400871,15000,5000,20,500
"193",500,500,0.4,200.89965690393,0.278,0.626,145.495,223.173,341.674,1.00448299226935,15000,5000,20,500
"194",500,500,0.4,134.249427162576,0.248,0.716,90.0537,120.5935,156.739,1.0007579771655,15000,5000,20,500
"195",500,500,0.4,28.4073574258946,0.36,0.932,26.2189,30.55435,36.1629,1.00073786484356,15000,5000,20,500
"196",500,500,0.4,245.901195874903,0.218,0.576,136.262,213.863,337.541,1.00110524820129,15000,5000,20,500
"197",500,500,0.4,25.9643748402596,0.376,0.952,23.9391,28.19495,32.6468,1.00335447083787,15000,5000,20,500
"198",500,500,0.4,140.070739055518,0.274,0.736,92.9458,122.4155,160.169,1.00237051904441,15000,5000,20,500
"199",500,500,0.4,166.748540559784,0.294,0.676,117.595,159.0125,213.538,1.00328372905756,15000,5000,20,500
"200",500,500,0.4,236.525018413085,0.196,0.576,142.175,249.667,433.75,1.00224626286763,15000,5000,20,500
"201",1000,500,0.4,232.982746704947,0.225,0.594,182.924,253.9965,365.144,0.99994702652432,15000,5000,20,500
"202",1000,500,0.4,39.9040629039519,0.382,0.907,35.9905,40.69475,44.9052,1.00314567727713,15000,5000,20,500
"203",1000,500,0.4,44.5852374960668,0.36,0.905,40.6497,45.56775,51.127,1.00043425532068,15000,5000,20,500
"204",1000,500,0.4,245.65489730332,0.23,0.569,215.171,331.1675,512.93,1.0016006376861,15000,5000,20,500
"205",1000,500,0.4,195.973094461951,0.234,0.636,143.271,190.4345,248.135,1.00319469185907,15000,5000,20,500
"206",1000,500,0.4,223.345511078369,0.255,0.598,171.044,234.3475,324.903,1.00787530941788,15000,5000,20,500
"207",1000,500,0.4,25.6990773766302,0.392,0.958,26.4349,29.3688,32.4947,1.00038203351606,15000,5000,20,500
"208",1000,500,0.4,160.440100647975,0.263,0.686,119.723,149.7625,186.57,1.00031671741846,15000,5000,20,500
"209",1000,500,0.4,246.439096899703,0.21,0.567,178.323,251.611,367.91,1.00058918656333,15000,5000,20,500
"210",1000,500,0.4,140.307261210401,0.284,0.722,140.996,178.961,224.217,1.00460955522616,15000,5000,20,500
"211",1000,500,0.4,192.623895825818,0.234,0.625,151.815,199.0245,271.743,0.999913700102813,15000,5000,20,500
"212",1000,500,0.4,129.918177539948,0.304,0.744,102.838,124.824,148.285,0.999674877400185,15000,5000,20,500
"213",1000,500,0.4,13.4830104489811,0.399,0.978,11.8293,13.08115,14.4921,1.00099091168366,15000,5000,20,500
"214",1000,500,0.4,19.979338098783,0.399,0.967,18.0648,20.03535,22.2172,0.999970263895327,15000,5000,20,500
"215",1000,500,0.4,217.304346924648,0.251,0.609,203.093,299.1215,443.127,1.00404058790043,15000,5000,20,500
