"","N","LEN","DELTA","PHI","SIGMA.PHI","Pcap","Pstay","delta_lower","delta_med","delta_upper","phi_lower","phi_med","phi_upper","R_hat_delta","R_hat_phi","MCMCiter","Burn_in","N_thin","N_sample"
"117",1000,500,50,0.4,1,0.368,0.894,42.037,47.0463,52.8612,0.376711,0.408084,0.443274,1.0058595705572,0.99950844858043,15000,5000,20,500
"118",1000,500,50,0.4,1,0.376,0.902,46.0321,51.72225,57.7578,0.390315,0.4212165,0.456393,1.00189807642662,1.00151867809412,15000,5000,20,500
"119",1000,500,50,0.4,1,0.364,0.895,41.2722,45.9932,51.8904,0.371498,0.401877,0.433846,1.00224205143759,1.00132730941053,15000,5000,20,500
"120",1000,500,50,0.4,1,0.376,0.901,42.5269,47.1395,52.706,0.382914,0.4143515,0.444773,1.00195278535872,1.00085834316293,15000,5000,20,500
"121",1000,500,50,0.4,1,0.371,0.899,41.848,46.9554,51.9148,0.380389,0.4111145,0.446211,1.00090993019293,1.00036716043102,15000,5000,20,500
"122",1000,500,50,0.4,1,0.388,0.906,42.9023,48.1311,53.6493,0.39294,0.42783,0.458023,1.0000003803833,1.00042271051083,15000,5000,20,500
"123",1000,500,50,0.4,1,0.351,0.893,45.871,53.01745,59.0628,0.363044,0.394728,0.426847,1.00130666174806,1.0021806975217,15000,5000,20,500
"124",1000,500,50,0.4,1,0.383,0.895,38.3784,43.3141,48.2688,0.38533,0.419542,0.449945,1.00424485759284,0.999809464764148,15000,5000,20,500
"125",1000,500,50,0.4,1,0.393,0.905,43.0823,48.6532,53.709,0.402251,0.43448,0.467262,0.999940198425071,1.00672888874097,15000,5000,20,500
"126",1000,500,50,0.4,1,0.374,0.887,45.621,51.31945,57.3252,0.388175,0.4182155,0.452869,1.00112169368307,0.999462028678496,15000,5000,20,500
"127",1000,500,50,0.4,1,0.387,0.901,48.4272,53.7371,60.7298,0.399323,0.430217,0.465552,1.00444993645247,1.00006673323264,15000,5000,20,500
"128",1000,500,50,0.4,1,0.362,0.897,48.0082,53.8737,60.5013,0.377255,0.408977,0.445395,1.00162183334327,1.00088206103575,15000,5000,20,500
"129",1000,500,50,0.4,1,0.376,0.912,47.2915,53.0501,59.418,0.387413,0.418933,0.452679,1.00161330594318,0.999420039184427,15000,5000,20,500
"130",1000,500,50,0.4,1,0.375,0.904,42.8084,47.8851,53.4425,0.389071,0.418599,0.45387,1.00145857858566,1.00087455306568,15000,5000,20,500
"131",1000,500,50,0.4,1,0.359,0.874,43.1044,48.61105,54.6601,0.370416,0.403271,0.434767,1.00252467814663,1.0010992183086,15000,5000,20,500
"132",1000,500,50,0.4,1,0.365,0.896,47.4051,53.2977,59.9687,0.370692,0.4058145,0.439393,1.00397008143261,1.00032673804249,15000,5000,20,500
"133",1000,500,50,0.4,1,0.387,0.892,47.8134,54.04895,60.7559,0.402538,0.43691,0.470598,1.00397199784194,1.00076336987839,15000,5000,20,500
"134",1000,500,50,0.4,1,0.378,0.9,44.0671,49.23385,55.1239,0.391438,0.420716,0.457602,1.00535329841195,1.00016941781127,15000,5000,20,500
"135",1000,500,50,0.4,1,0.363,0.909,46.0286,51.64275,58.6648,0.371556,0.4029695,0.437742,1.00090746142677,1.00155370284989,15000,5000,20,500
"136",1000,500,50,0.4,1,0.375,0.893,47.9023,54.3652,60.8949,0.389798,0.424423,0.456218,1.00271146625815,1.00328484347986,15000,5000,20,500
"137",1000,500,50,0.4,1,0.363,0.889,42.8319,48.31175,54.2619,0.377141,0.4068675,0.445665,1.00307058880196,1.00009484958448,15000,5000,20,500
"138",1000,500,50,0.4,1,0.398,0.906,42.3219,47.43565,52.9069,0.408963,0.4403445,0.474534,1.00069046965934,1.00194294261118,15000,5000,20,500
"139",1000,500,50,0.4,1,0.359,0.878,43.1093,48.4091,53.8631,0.36924,0.400206,0.435732,1.00442246809685,1.00139832369558,15000,5000,20,500
"140",1000,500,50,0.4,1,0.384,0.91,42.123,47.3952,52.7712,0.391427,0.4235005,0.454707,1.00089061211304,1.00010254892688,15000,5000,20,500
"141",1000,500,50,0.4,1,0.387,0.9,44.87,49.9971,55.7828,0.399572,0.432569,0.466047,0.99959490579366,1.00235831640869,15000,5000,20,500
"142",1000,500,50,0.4,1,0.366,0.916,42.494,48.02935,53.3517,0.372804,0.4038245,0.436919,1.00116080097537,1.00030811658986,15000,5000,20,500
"143",1000,500,50,0.4,1,0.389,0.895,42.9886,48.76685,54.0581,0.401767,0.4329175,0.466677,1.00357931200864,1.00055498600833,15000,5000,20,500
"144",1000,500,50,0.4,1,0.372,0.892,37.5828,41.7414,47.1052,0.373844,0.4063385,0.439843,1.00511850397998,1.0069782538052,15000,5000,20,500
"145",1000,500,50,0.4,1,0.374,0.894,48.2459,54.09675,60.7994,0.38725,0.420137,0.45396,1.00941187845919,1.00034734874333,15000,5000,20,500
"146",1000,500,50,0.4,1,0.402,0.914,41.3539,46.39355,51.6627,0.411719,0.4428885,0.475857,1.0011180138918,1.00039259108885,15000,5000,20,500
"147",1000,500,50,0.4,1,0.387,0.892,41.0538,46.43965,51.5937,0.395518,0.4292555,0.461912,1.00413146131733,1.00426878746513,15000,5000,20,500
"148",1000,500,50,0.4,1,0.37,0.904,44.4331,49.99125,55.6732,0.3795,0.408267,0.443391,0.999756814805287,1.00086244037691,15000,5000,20,500
"149",1000,500,50,0.4,1,0.365,0.903,44.1827,49.37355,55.2739,0.372701,0.4053445,0.439565,1.00375122809876,1.00111982417554,15000,5000,20,500
"150",1000,500,50,0.4,1,0.364,0.901,44.3129,50.2129,56.2408,0.372168,0.4036395,0.438065,1.00053268004717,1.00108220823072,15000,5000,20,500
"151",100,1000,50,0.4,1,0.36,0.95,28.0479,38.82225,52.9994,0.284513,0.373803,0.472925,1.00710724228305,0.999197113279619,15000,5000,20,500
"152",100,1000,50,0.4,1,0.33,0.95,42.2877,60.34115,86.0878,0.269245,0.3567075,0.457938,1.00358913715485,0.99975417262683,15000,5000,20,500
"153",100,1000,50,0.4,1,0.49,0.95,35.0648,46.9541,62.5745,0.427994,0.523311,0.627963,0.999841688837345,1.00076948765864,15000,5000,20,500
"154",100,1000,50,0.4,1,0.37,0.92,34.9698,49.533,69.407,0.309602,0.3972705,0.497545,1.00045280831702,0.999315464558519,15000,5000,20,500
"155",100,1000,50,0.4,1,0.39,0.93,33.3487,46.1594,62.7544,0.323708,0.415338,0.518265,1.00155995240023,0.999971076003608,15000,5000,20,500
"156",100,1000,50,0.4,1,0.41,0.93,36.7717,51.6142,70.7168,0.336519,0.437637,0.543709,1.0014331757928,0.999163247376703,15000,5000,20,500
"157",100,1000,50,0.4,1,0.46,0.96,45.3185,61.99215,82.4314,0.383839,0.4862325,0.582745,1.00315856355476,0.999118830535294,15000,5000,20,500
"158",100,1000,50,0.4,1,0.29,0.97,48.8094,72.4842,105.47,0.223362,0.307528,0.399194,1.00339673241834,1.00111637342576,15000,5000,20,500
"159",100,1000,50,0.4,1,0.49,0.97,31.806,44.1696,57.5895,0.409844,0.502367,0.614995,1.00184999841295,0.999820659706092,15000,5000,20,500
"160",100,1000,50,0.4,1,0.38,0.96,27.6876,40.01365,56.0864,0.30063,0.3936505,0.492694,1.00278694466252,1.00079467812326,15000,5000,20,500
"161",100,1000,50,0.4,1,0.41,0.94,35.4735,50.5741,69.2051,0.329532,0.427696,0.520898,1.00161709060139,1.00177475079567,15000,5000,20,500
"162",100,1000,50,0.4,1,0.39,0.95,34.214,47.51415,66.816,0.31922,0.4154585,0.51269,1.00137992911513,0.999419092879894,15000,5000,20,500
"163",100,1000,50,0.4,1,0.33,0.98,34.0968,48.83205,69.5864,0.264339,0.346282,0.451806,1.00331358764112,1.00093235453932,15000,5000,20,500
"164",100,1000,50,0.4,1,0.39,0.97,32.51,48.31845,65.8444,0.313955,0.4069015,0.503084,1.00101823831409,0.999788199130547,15000,5000,20,500
"165",100,1000,50,0.4,1,0.38,0.95,33.0599,47.1804,65.447,0.304223,0.398912,0.5029,1.00144276977686,1.00021416384316,15000,5000,20,500
"166",100,1000,50,0.4,1,0.37,0.92,38.2231,55.97145,77.1557,0.306341,0.399878,0.495261,1.00519896523659,0.999988754724717,15000,5000,20,500
"167",100,1000,50,0.4,1,0.41,0.95,31.9747,45.3145,61.7868,0.34329,0.433948,0.539035,1.00394606334165,1.00126951130911,15000,5000,20,500
"168",100,1000,50,0.4,1,0.42,0.97,32.6184,45.3023,61.8665,0.340054,0.4291465,0.531604,1.00764508391608,1.00124732170957,15000,5000,20,500
"169",100,1000,50,0.4,1,0.32,0.93,29.6208,42.29465,60.1927,0.247709,0.3370695,0.437704,1.00038084454309,1.00054596626153,15000,5000,20,500
"170",100,1000,50,0.4,1,0.41,0.95,43.1098,58.8508,80.0614,0.349635,0.44242,0.55571,0.999199657575221,1.00255564025984,15000,5000,20,500
